"ISO","GID","P_2000","P_2001","P_2002","P_2003","P_2004","P_2005","P_2006","P_2007","P_2008","P_2009","P_2010","P_2011","P_2012","P_2013","P_2014","P_2015","P_2016","P_2017","P_2018","P_2019","P_2020"
"com",174877354,273881.950824,281120.630442,288550.627826,296176.999488,304004.935587,312039.763456,320286.951229,328752.111561,337441.005453,346359.546165,355513.803246,364910.006661,374554.551035,384454,394615.090666,405044.738204,415750.040551,426738.283245,438016.944377,449593.699684,461476.427775
"com",174877355,31944.3071105,33165.8938857,34434.1955338,35750.998485,37118.1574845,38537.598205,40011.3199592,41541.3985159,43129.9890235,44779.3290459,46491.7417138,48269.6389972,50115.5251025,52032,54021.7630856,56087.6169834,58232.4714928,60459.3476875,62771.3821703,65171.8314915,67664.0767353
"com",174877356,227102.098486,232515.339552,238057.611476,243731.989859,249541.623611,255489.7367,261579.62994,267814.682827,274198.355407,280734.190203,287425.814177,294276.940745,301291.371836,308473,315825.810574,323353.883889,331061.397534,338952.628678,347031.956438,355303.864316,363772.942682
