"ISO","GID","P_2000","P_2001","P_2002","P_2003","P_2004","P_2005","P_2006","P_2007","P_2008","P_2009","P_2010","P_2011","P_2012","P_2013","P_2014","P_2015","P_2016","P_2017","P_2018","P_2019","P_2020"
"gmb",270186945,6411.61055636,6444.2406937,6477.03689319,6509.99999997,6543.13086346,6576.43033741,6609.89927992,6643.53855345,6677.34902486,6711.33156541,6745.4870508,6779.81636119,6814.32038121,6849,6883.85611122,6918.88961307,6954.10140835,6989.49240442,7025.06351328,7060.81565157,7096.74974058
"gmb",270186946,23390.0829725,23663.5131411,23940.1397097,24220.0000439,24503.1319467,24789.5736625,25079.3638833,25372.5417529,25669.1468731,25969.2193084,26272.7995918,26579.9287299,26890.6482089,27205,27523.0265648,27844.7708615,28170.2763505,28499.5869999,28832.7472922,29169.8022298,29510.797341
"gmb",270186947,14075.0358099,14466.3755974,14868.5961267,15281.9999238,15706.8979265,16143.6097175,16592.4637654,17053.7976712,17527.9584227,18015.3026553,18516.19692,19031.0179597,19560.1529918,20104,20662.9680335,21237.4775147,21827.960555,22434.8612806,23058.6361659,23699.7543768,24358.6981243
"gmb",270186948,50457.3178761,51853.5528141,53288.423813,54762.9999945,56278.3800647,57835.6931327,59436.0995518,61080.7917841,62770.9952893,64507.9694371,66293.0084464,68127.4423489,70012.6379806,71950,73940.9719347,75987.0372572,78089.7204897,80250.5883408,82471.2508722,84753.3626986,87098.6242206
"gmb",270186949,5547.14561051,5647.92183705,5750.52888769,5855.0000234,5961.36910945,6069.67062631,6179.93968088,6292.21201786,6406.52403133,6522.91277654,6641.41598194,6762.0720614,6884.92012665,7010,7137.35222719,7267.01809058,7399.03962251,7533.45961895,7670.32165331,7809.67009066,7951.55010202
"gmb",270186950,14508.6425907,14542.3500356,14576.1357919,14610.0000415,14643.9429668,14677.9647505,14712.0655759,14746.2456267,14780.5050868,14814.8441407,14849.2629735,14883.7617703,14918.3407171,14953,14987.7398056,15022.5603211,15057.4617339,15092.444232,15127.5080038,15162.653238,15197.880124
"gmb",270186951,5655.0380846,5793.28484944,5934.91128524,6080.00001365,6228.63567614,6380.90498338,6536.89676584,6696.70202559,6860.41398938,7028.12816306,7199.94238727,7375.95689455,7556.27436775,7741,7930.24155605,8124.10943512,8322.71673533,8526.17931969,8734.61588365,8948.14802436,9166.90031164
"gmb",270186952,71961.848971,75858.4325149,79966.0079042,84295.9999058,88860.451914,93672.0594474,98744.2054607,104090.997567,109727.307278,115668.811366,121932.035469,128534.40005,135494.268859,142831,150564.999781,158717.779466,167312.015112,176371.610635,185921.764299,195989.038801,206601.435151
"gmb",270186953,51956.0419968,54994.5337462,58210.7224823,61615.0002754,65218.3669442,69032.4655985,73069.6202603,77342.8756847,81866.0395094,86653.7268705,91721.4076257,97085.4563407,102763.205198,108773,115134.259448,121867.537888,128994.591724,136538.449716,144523.487394,152975.505814,161921.814933
"gmb",270186954,9930.34716329,10219.0878007,10516.2240314,10821.9999706,11136.6668315,11460.4831319,11793.7149062,12136.6359243,12489.5279165,12852.6808045,13226.3929404,13610.9713509,14006.7319905,14414,14833.1099747,15264.4062384,15708.243127,16164.9852789,16635.0079354,17118.6972482,17616.450597
"gmb",270186955,14621.338128,14790.9176982,14962.4640672,15136.0000461,15311.5487107,15489.1334041,15668.7777405,15850.5056078,16034.3411709,16220.3088751,16408.4334491,16598.7399086,16791.2535591,16986,17183.0051273,17382.2951374,17583.8965307,17787.8361147,17994.1410081,18202.8386438,18413.956773
"gmb",270186956,41371.0313548,42423.9939056,43503.7561299,44611.0001246,45746.4253471,46910.7490573,48104.7067705,49329.0527219,50584.5603435,51872.0227525,53192.253252,54546.0858452,55934.3757622,57358,58817.8578766,60314.8715993,61849.9868471,63424.173368,65038.4255919,66693.7632585,68391.2320617
"gmb",270186957,10607.4045604,10850.3305253,11098.8198704,11353.0000057,11613.0012591,11878.9569431,12151.0034236,12429.2801891,12713.9299228,13005.0985754,13302.9354404,13607.5932301,13919.2281543,14238,14564.0722139,14897.6119856,15238.7903337,15587.7821936,15944.7665066,16309.9263124,16683.4488423
"gmb",270186958,5875.64139052,5892.37985962,5909.1660131,5925.99998681,5942.88191698,5959.81194022,5976.79019355,5993.81681436,6010.89194043,6028.01570996,6045.18826151,6062.40973406,6079.68026697,6097,6114.36907332,6131.78762748,6149.25580344,6166.77374257,6184.34158664,6201.9594778,6219.62755864
"gmb",270186959,17975.5591056,18412.975637,18861.0362448,19319.9999413,19790.1320419,20271.7043181,20764.9951548,21270.2897107,21787.8800841,22318.0654807,22861.1523874,23417.4547491,23987.29415,24571,25168.9097246,25781.3689604,26408.7317546,27051.3607697,27709.6274934,28383.912453,29074.6054358
"gmb",270186960,6376.23522463,6442.46647627,6509.38568537,6576.99999791,6645.31663406,6714.342889,6784.08613369,6854.55381563,6925.75345972,6997.69266898,7070.37912544,7143.82059089,7218.02490778,7293,7368.75387374,7445.29461837,7522.63040728,7600.76949875,7679.72023685,7759.49105231,7840.09046346
"gmb",270186961,27782.7196318,28504.879252,29245.8100554,30005.9999635,30785.9495805,31586.1725232,32407.1957584,33249.5599506,34113.8198181,35000.5444977,35910.3179201,36843.7391941,37801.423001,38784,39792.1172428,40826.4386,41887.6451984,42976.4358694,44093.527609,45239.6560506,46415.5759485
"gmb",270186962,7814.14024455,7974.44890394,8138.04632772,8304.99998558,8475.37873131,8649.2528313,8826.69399343,9007.77539671,9192.57172141,9381.15917989,9573.61554803,9770.02019729,9970.45412744,10175,10383.7421723,10596.7667322,10814.1615339,11036.0162337,11262.4223272,11493.4731874,11729.2641024
"gmb",270186963,23280.104264,23826.797569,24386.3290282,24959.0001236,25545.1194172,26145.0027167,26758.9732462,27387.3618202,28030.5070217,28688.7553847,29362.4615811,30051.9886116,30757.7080013,31480,32219.253787,32975.8676808,33750.2493537,34542.8160515,35353.9948184,36184.2227267,37033.947113
